sku,name,category,price,stock
SKU-1000,Ultra Router,Audio,19.14,26
SKU-1001,Max Monitor,Audio,31.94,3
SKU-1002,Max Mouse,Displays,208.68,21
SKU-1003,Air HDD,Networking,49.83,14
SKU-1004,Ultra HDD,Cameras,240.49,47
SKU-1005,Plus Speaker,Storage,78.95,28
SKU-1006,Lite Router,Home,85.88,16
SKU-1007,Plus Lamp,Home,31.75,36
SKU-1008,Pro Charger,Displays,63.73,7
SKU-1009,Mini Mouse,Networking,28.79,4
SKU-1010,Mini Router,Displays,69.76,45
SKU-1011,Air Webcam,Audio,116.64,2
SKU-1012,Max Lamp,Cameras,196.39,11
SKU-1013,Mini Lamp,Cameras,166.93,43
SKU-1014,Lite Charger,Gaming,237.64,30
SKU-1015,Max Tablet,Storage,106.72,24
SKU-1016,Air SSD,Cameras,166.71,41
SKU-1017,Ultra Keyboard,Audio,191.16,47
SKU-1018,Plus Mouse,Displays,90.76,2
SKU-1019,Air Tablet,Home,118.27,30
SKU-1020,Ultra Tablet,Networking,91.01,33
SKU-1021,Air Lamp,Audio,235.34,23
SKU-1022,Max Tablet,Home,239.83,43
SKU-1023,Lite HDD,Cameras,238.26,24
SKU-1024,Pro Keyboard,Cameras,140.51,42
SKU-1025,Mini HDD,Networking,45.19,50
SKU-1026,Ultra Router,Gaming,212.10,47
SKU-1027,Plus Speaker,Networking,186.47,30
SKU-1028,Air Charger,Displays,293.67,9
SKU-1029,Max Keyboard,Cameras,86.86,43
SKU-1030,Max Keyboard,Cameras,41.99,36
SKU-1031,Ultra Keyboard,Storage,274.23,44
SKU-1032,Lite Speaker,Accessories,92.72,44
SKU-1033,Plus Tablet,Displays,124.47,39
SKU-1034,Smart Laptop,Displays,220.24,31
SKU-1035,Air Lamp,Home,94.41,6
SKU-1036,Plus Router,Audio,260.58,32
SKU-1037,Pro Lamp,Home,27.47,44
SKU-1038,Ultra Router,Cameras,213.33,48
SKU-1039,Air Charger,Displays,7.24,41
SKU-1040,Mini Mouse,Home,133.31,22
SKU-1041,Air Lamp,Audio,43.09,46
SKU-1042,Mini Webcam,Displays,64.17,10
SKU-1043,Air Router,Displays,153.99,17
SKU-1044,Ultra Webcam,Home,257.41,7
SKU-1045,Mini Monitor,Gaming,42.96,10
SKU-1046,Lite Tablet,Gaming,158.31,50
SKU-1047,Air Router,Gaming,194.56,39
SKU-1048,Smart Speaker,Storage,76.80,33
SKU-1049,Plus Webcam,Storage,181.30,44
SKU-1050,Plus Lamp,Displays,291.10,20
SKU-1051,Mini Laptop,Accessories,136.49,39
SKU-1052,Pro Speaker,Storage,140.07,14
SKU-1053,Mini Mouse,Gaming,135.30,10
SKU-1054,Mini Speaker,Accessories,50.64,3
SKU-1055,Lite Lamp,Cameras,6.11,47
SKU-1056,Plus Charger,Audio,290.54,45
SKU-1057,Air Tablet,Gaming,105.30,14
SKU-1058,Max Headset,Home,9.43,7
SKU-1059,Smart Router,Home,197.99,33
SKU-1060,Mini Lamp,Home,69.20,15
SKU-1061,Ultra Monitor,Home,139.82,42
SKU-1062,Smart HDD,Displays,243.37,45
SKU-1063,Air Mouse,Accessories,81.10,46
SKU-1064,Plus HDD,Home,193.94,22
SKU-1065,Smart Hub,Home,191.71,27
SKU-1066,Plus Headset,Accessories,186.44,28
SKU-1067,Lite Webcam,Cameras,194.64,42
SKU-1068,Ultra Hub,Displays,142.64,39
SKU-1069,Air Monitor,Home,72.93,1
SKU-1070,Ultra Tablet,Home,246.83,26
SKU-1071,Max Headset,Accessories,92.84,20
SKU-1072,Ultra Monitor,Displays,132.53,42
SKU-1073,Plus Mouse,Home,20.81,36
SKU-1074,Max Hub,Storage,101.37,3
SKU-1075,Mini SSD,Cameras,41.55,8
SKU-1076,Mini Lamp,Cameras,134.10,18
SKU-1077,Lite Router,Displays,69.10,25
SKU-1078,Lite Headset,Audio,29.28,17
SKU-1079,Ultra Tablet,Gaming,149.91,27
SKU-1080,Plus SSD,Networking,34.13,18
SKU-1081,Ultra Tablet,Networking,156.41,48
SKU-1082,Ultra Headset,Storage,218.58,25
SKU-1083,Lite Charger,Home,7.99,24
SKU-1084,Ultra Headset,Audio,9.72,25
SKU-1085,Mini Lamp,Displays,219.09,8
SKU-1086,Air Lamp,Displays,274.67,35
SKU-1087,Mini Lamp,Networking,95.73,49
SKU-1088,Air Tablet,Gaming,128.42,31
SKU-1089,Max Charger,Gaming,139.11,12
SKU-1090,Plus HDD,Networking,39.20,37
SKU-1091,Plus HDD,Storage,210.27,31
SKU-1092,Pro Mouse,Cameras,198.05,38
SKU-1093,Pro Lamp,Networking,105.82,49
SKU-1094,Plus Laptop,Home,74.99,13
SKU-1095,Mini Mouse,Home,282.21,50
SKU-1096,Plus Monitor,Networking,234.74,21
SKU-1097,Lite Webcam,Networking,48.33,44
SKU-1098,Pro Webcam,Displays,213.34,44
SKU-1099,Ultra Headset,Accessories,112.24,40
SKU-1100,Mini Lamp,Gaming,72.91,36
SKU-1101,Air Headset,Networking,267.31,30
SKU-1102,Pro Keyboard,Storage,48.81,19
SKU-1103,Ultra Laptop,Audio,91.91,13
SKU-1104,Mini HDD,Networking,97.02,38
SKU-1105,Lite Mouse,Cameras,82.17,44
SKU-1106,Ultra Charger,Displays,273.86,10
SKU-1107,Smart Mouse,Home,97.46,10
SKU-1108,Pro Hub,Cameras,262.15,27
SKU-1109,Lite HDD,Audio,220.54,36
SKU-1110,Ultra Headset,Home,71.32,18
SKU-1111,Ultra Lamp,Audio,292.01,12
SKU-1112,Ultra Lamp,Storage,72.95,29
SKU-1113,Plus Keyboard,Home,53.24,50
SKU-1114,Plus Router,Networking,241.08,36
SKU-1115,Max HDD,Gaming,170.46,35
SKU-1116,Max Hub,Storage,13.98,38
SKU-1117,Ultra Keyboard,Displays,143.24,21
SKU-1118,Mini Speaker,Audio,49.75,26
SKU-1119,Plus Tablet,Storage,37.05,32
SKU-1120,Ultra Charger,Storage,84.00,19
SKU-1121,Lite Mouse,Cameras,181.80,6
SKU-1122,Plus Monitor,Storage,262.15,14
SKU-1123,Air Speaker,Cameras,63.58,31
SKU-1124,Max Tablet,Networking,101.66,50
